,
,
City/County,value
SPAULDING,000.0000000
STUART,004.0000000
WETUMKA,005.0000000
YEAGER,003.0000000
HUGHES COUNTY,001.0000000
ALTUS,003.7500000
BLAIR,003.0000000
EAST DUKE,002.0000000
ELDORADO,002.0000000
ELMER,000.0000000
HEADRICK,000.0000000
MARTHA,000.0000000
OLUSTEE,001.0000000
JACKSON COUNTY,000.6250000
ADDINGTON,002.0000000
FLEETWOOD,000.0000000
GRADY,000.0000000
HASTINGS,003.0000000
OSCAR,000.0000000
RINGLING,002.5000000
RYAN,003.0000000
TERRAL,003.0000000
WAURIKA,003.0000000
CORNISH,002.0000000
JEFFERSON COUNTY,002.0000000
BROMIDE,000.0000000
COLEMAN,000.0000000
CONNERVILLE,000.0000000
FILLMORE,000.0000000
MANNSVILLE,003.0000000
MILBURN,002.0000000
MILL CREEK,003.5000000
PONTOTOC,000.0000000
RAVIA,003.0000000
TISHOMINGO,003.0000000
WAPANUCKA,001.5000000
JOHNSTON COUNTY,002.0000000
BLACKWELL,005.0000000
BRAMAN,003.0000000
CHILOCCO,000.0000000
KAW CITY,004.5000000
KILDARE,000.0000000
NARDIN,000.0000000
NEWKIRK,003.0000000
PECKHAM,000.0000000
PONCA CITY,003.5000000
TONKAWA,004.5000000
UNCAS,000.0000000
KAY COUNTY,000.6670000
CASHION - KINGFISHER COUNTY,004.0000000
DOVER,004.0000000
HENNESSEY,004.0000000
KINGFISHER,003.3350000
LOYAL,004.0000000
OKARCHE - KINGFISHER COUNTY,004.5000000
OMEGA,000.0000000
PIEDMONT - KINGFISHER CO,005.0000000
KINGFISHER COUNTY,001.2500000
COOPERTON,000.0000000
GOTEBO,004.0000000
HOBART,004.0000000
LONE WOLF,003.0000000
MOUNTAIN PARK,003.0000000
MOUNTAIN VIEW,004.0000000
ROOSEVELT,003.0000000
SNYDER,004.0000000
KIOWA COUNTY,000.5000000
BENGAL,000.0000000
GOWEN,000.0000000
PANOLA,000.0000000
RED OAK,003.0000000
WILBURTON,003.5000000
FANSHAWE - LATIMER,003.0000000
LATIMER COUNTY,001.7500000
ARKOMA,003.0000000
BOKOSHE,003.0000000
CAMERON,002.0000000
COWLINGTON,000.0000000
FANSHAWE,003.0000000
HEAVENER,003.5000000
HODGEN,000.0000000
HOWE,003.0000000
LEFLORE,001.0000000
FORT COFFEE,003.0000000
HONOBIA,000.0000000
MONROE,000.0000000
MUSE,000.0000000
OCTAVIA,000.0000000
PAGE,000.0000000
PANAMA,003.0000000
POCOLA,004.0000000
POTEAU,003.0000000
ROCK ISLAND,001.5000000
SHADY POINT,003.5000000
SPIRO,003.0000000
SUMMERFIELD,000.0000000
TALIHINA,003.0000000
WHITESBORO,000.0000000
WISTER,003.0000000
LEFLORE COUNTY,002.0000000
AGRA,004.0000000
CARNEY,004.0000000
CHANDLER,004.0000000
DAVENPORT,004.0000000
FALLIS,000.0000000
KENDRICK,004.0000000
MEEKER,004.0000000
PRAGUE,004.0000000
SPARKS,004.0000000
STROUD - LINCOLN COUNTY,004.0000000
TRYON,004.0000000
WARWICK,000.0000000
WELLSTON,004.0000000
LINCOLN COUNTY,001.0000000
CEDAR VALLEY,000.2500000
COYLE,003.0000000
CRESCENT,003.0000000
CIMARRON CITY,002.0000000
CASHION - LOGAN COUNTY,004.0000000
GUTHRIE,003.7500000
LANGSTON,004.0000000
MARSHALL,004.0000000
MERIDIAN,002.0000000
MULHALL,003.0000000
ORLANDO - LOGAN COUNTY,004.0000000
OKLAHOMA CITY - LOGAN COUNTY,000.0000000
SEWARD,000.0000000
LOGAN COUNTY,000.7500000
BURNEYVILLE,000.0000000
LEON,000.0000000
MARIETTA,003.0000000
OVERBROOK,000.0000000
RUBOTTOM,000.0000000
THACKERVILLE,002.0000000
LOVE COUNTY,002.5000000
BLANCHARD - MCCLAIN COUNTY,004.0000000
BYARS,004.0000000
DIBBLE,005.0000000
NEWCASTLE,004.0000000
PURCELL,005.0000000
ROSEDALE,000.0000000
WASHINGTON,004.0000000
GOLDSBY,003.5000000
WAYNE,003.5000000
COLE,004.0000000
OKLAHOMA CITY - MCCLAIN COUNTY,000.0000000
MCCLAIN COUNTY,000.5000000
BATTIEST,000.0000000
BETHEL,000.0000000
BROKEN BOW,003.0000000
CLEBIT,000.0000000
EAGLETOWN,000.0000000
GARVIN,003.0000000
GOLDEN,000.0000000
HARRIS,000.0000000
HAWORTH,003.5000000
HOCHATOWN,000.0000000
IDABEL,003.0000000
MILLERTON,003.0000000
PICKENS,000.0000000
PLUNKETTVILLE,000.0000000
RINGOLD,000.0000000
RUFE,000.0000000
SHERWOOD,000.0000000
SMITHVILLE,000.0000000
TOM,000.0000000
VALLIANT,003.0000000
WATSON,000.0000000
WRIGHT CITY,003.0000000
GLOVER,000.0000000
MCCURTAIN COUNTY,001.7500000
CHECOTAH,004.0000000
EUFAULA,003.5000000
FAME,000.0000000
HANNA,004.0000000
HITCHITA,000.0000000
LENNA,000.0000000
PIERCE,000.0000000
RENTIESVILLE,004.0000000
STIDHAM,000.0000000
VERNON,004.0000000
MCINTOSH COUNTY,002.0000000
AMES,003.0000000
CHESTER,000.0000000
CLEO SPRINGS,003.0000000
FAIRVIEW,004.0000000
ISABELLA,000.0000000
MENO,003.0000000
ORIENTA,000.0000000
RINGWOOD,003.0000000
SEILING - MAJOR COUNTY,004.0000000
MAJOR COUNTY,001.7500000
CUMBERLAND,000.0000000
KINGSTON,003.0000000
LEBANON,000.0000000
MCMILLAN,000.0000000
MADILL,003.0000000
OAKLAND,002.0000000
WILLIS,000.0000000
WOODVILLE,000.0000000
MARSHALL COUNTY,002.0000000
ADAIR,004.0000000
CHOUTEAU,004.5000000
LOCUST GROVE,004.5000000
MAZIE,000.0000000
PRYOR,004.0000000
ROSE,000.0000000
SALINA,004.0000000
SPAVINAW,003.0000000
STRANG,002.0000000
DISNEY,003.8750000
LANGLEY,003.0000000
BOATMAN,000.0000000
PENSACOLA,003.0000000
SPORTSMEN ACRES,003.0000000
MAYES COUNTY,001.3750000
DAVIS - MURRAY COUNTY,003.0000000
DOUGHERTY,002.0000000
